"method","k","replicates","mean_time","median_time","lower","upper"
"SVP Gaussian / both / c = 1.987",90,12,0.016895833333327,0.0167500000000018,0.0167500000000018,0.0169999999999959
"SVP Gaussian / both / c = 1.987",91,12,0.0166666666666705,0.0167500000000018,0.0165000000000077,0.0167500000000018
"SVP Gaussian / both / c = 1.987",92,12,0.0163749999999917,0.0162500000000136,0.0162499999999568,0.0165000000000077
"SVP Gaussian / both / c = 1.987",93,12,0.0163125000000027,0.0162500000000136,0.0162500000000136,0.0164999999999793
"SVP Gaussian / both / c = 1.987",94,12,0.0161249999999977,0.0160000000000196,0.0160000000000196,0.0162499999999852
"SVP Gaussian / both / c = 1.987",95,12,0.0158333333333379,0.0157500000000255,0.015749999999997,0.0158749999999941
"SVP Gaussian / both / c = 1.987",96,12,0.0159166666666598,0.015749999999997,0.0157499999999686,0.0160000000000196
"SVP Gaussian / both / c = 1.987",97,12,0.0157083333333266,0.0155000000000314,0.0154999999999745,0.015749999999997
"SVP Gaussian / both / c = 1.987",98,12,0.015395833333334,0.0153750000000059,0.0152500000000089,0.0155000000000314
"SVP Gaussian / both / c = 1.987",99,12,0.0152499999999899,0.0152499999999804,0.0152499999999804,0.0152500000000089
"SVP Gaussian / both / c = 1.987",100,12,0.0151458333333447,0.0151250000000118,0.0150000000000432,0.0152500000000089
"SVP Gaussian / none / c = 0.968",0,48,0.0872123419343761,0.0689999999999316,0.0399999999999494,0.127999999999957
"SVP Gaussian / none / c = 0.968",1,48,0.25437499999999,0.24300000000008,0.241999999999962,0.251999999999953
"SVP Gaussian / none / c = 0.968",2,48,0.308666666666621,0.305999999999813,0.304999999999836,0.307999999999993
"SVP Gaussian / none / c = 0.968",3,48,0.320249999999998,0.3185,0.317999999999984,0.319999999999993
"SVP Gaussian / none / c = 0.968",4,48,0.331083333333337,0.330000000000098,0.329999999999927,0.330999999999961
"SVP Gaussian / none / c = 0.968",5,48,0.334729166666657,0.333499999999958,0.333000000000084,0.335000000000036
"SVP Gaussian / none / c = 0.968",6,48,0.337937500000004,0.337999999999965,0.336999999999989,0.338000000000022
"SVP Gaussian / none / c = 0.968",7,48,0.339187500000004,0.338999999999942,0.338999999999942,0.339000000000169
"SVP Gaussian / none / c = 0.968",8,48,0.340333333333323,0.339999999999947,0.339999999999918,0.34050000000002
"SVP Gaussian / none / c = 0.968",9,48,0.343041666666674,0.343000000000018,0.342000000000098,0.343512500000001
"SVP Gaussian / none / c = 0.968",10,48,0.343625000000022,0.343500000000063,0.343000000000075,0.344000000000051
